text,topic,topic_id
whitehall increase tories civil servants document figure tories suggest government departments double number document ahead information act january departments defence environment trade increase file destruction rule public record tories want information commissioner information act members public access government record previously keep bbc political correspondent workings whitehall appear liberal democrat alan beith chair select committee monitor department constitutional affairs claim whitehall act entirely act information commissioner select committee issue fellow lib dem baker episode picture workings government clear government open government dr lewis conservative spokesman cabinet office discover huge series parliamentary answer department work pension file year act number file ministry defence departments environment food rural affairs trade industry rise dr lewis call information commissioner richard thomas mr thomas look cabinet office order tell staff delete e-mail months old e-mail information laws january government e-mail delete serve purpose mr thomas cabinet office laws destruction record information act england wales ireland year similar measure scotland provide public right access information public,politics,1
camera phone mobiles cameras sell europe year report analysts gartner globally number sell million increase report predict mobile phone sell built-in camera improve image technology mobiles increasingly must-have buy europe cameras mobiles megapixel image japan asia camera phone technology advance mobiles release megapixel image japan mobile phone technology uptake huge accord gartner mobiles sell cameras camera phone launch people quality image use send mms multimedia message service change months handset makers try phone easier use people like use camera phone different ways introduce design feature like screen removable memory card easier control send picture message mobile company introduce ways people share photos people include give people easier ways publish websites mobile blog report suggest image quality increase people interest print picture image technology inside cameras phone improve gartner report suggest mid- likely image camera phone megapixels consumer digital cameras image range megapixels quality megapixels high-end camera lot work camera phone like digital cameras handsets feature limit zoom manufacturers look technological let people photos like include modes basic edit feature processors record film clip image camera phone art world month charity feature take camera phone artists feature image take david bailey artists sir jack use organisations intel samsung uk foreign office lawrence livermore decide ban camera phone information leak school fitness local councils ban privacy italy information commissioner voice concern issue phone use camera phone manufacturers profit accord recent figure sony ericsson profit triple camera phone mobiles sell months feature cameras,tech,2
laporte team france coach bernard laporte change start line-up beat england saturday nations clash wales yannick grand slam winner imanol harinordoquy squad change laharrague win cap full-back rougerie return injury wing yannick jauzion laporte fan pressure start michalak fly-half delaigue keep number michalak -year-old laharrague get chance play wing club brive launch great international level team manager maso young great match world cup players high open jauzion france player year play match fit stade toulousain star win cap reunite traille effective midfield return jauzion go laporte go test international level laharrague brive rougerie clermont yannick jauzion stade toulousain traille biarritz dominici stade francais delaigue dimitri yachvili biarritz bourgoin yannick betsen biarritz jerome biarritz fabien pelous stade toulousain capt nicolas perpignan sebastien sale stade francais replacements stade toulousain bourgoin gregory stade toulousain imanol harinordoquy biarritz clermont michalak stade toulousain jean-philippe perpignan,sport,0
trade hit record export import hit all-time high latest figure commerce department trade deficit year previous record deficit china largest record single country trade december consumer oil import cars wine cheese record level year figure likely president bush economic policies democrats claim administration foreign trade believe china currency policy manufacturers claim undervalue yuan give china expand economy bush administration argue deficit america grow faster rate world spur demand import goods economists allow upward economic growth fourth quarter point deficit assets growth export rise trillion import rise faster record trillion foreign oil export surge record global oil price increase domestic demand import affect dollar weakness year expect deficit continue dollar get trend economist,business,3
civil servants ballot uk biggest civil service union ballot members government plan pension age public service union public sector unions unions million uk workers government unions change pension pcs leader mark warn unless government government choice choice public service choice choice public sector workers choice want pension promise start work work people drop bbc correspondent unions government run-up general election civil servants government departments opposition raise age unions agree correspondent unison workers transport general workers union amicus ballot deputy prime minister john prescott private meet senior union figure thursday night correspondent deal offer meet,politics,1
pountney ban northampton coach pountney ban coach weeks call referee disgrace pountney game disrepute rugby football union disciplinary london thursday night pountney criticise referee steve performance northampton defeat saracens february weeks ban pountney offence chairman robert ban mean scotland international pountney play technical areas touchline players officials areas game,sport,0
bellamy newcastle welsh striker craig bellamy weeks manager graeme souness bellamy do train team magpies chairman tell newcastle even player think club chairman manager player souness drop bellamy sunday game arsenal claim injury ask play manager bellamy think go response souness remark wales international wrong tell even souness bellamy weekend war media bellamy claim souness deny accuse striker cheat club record bellamy situation craig train hamstring fail tell members squad train injury graeme discover order bellamy attend meet office meet bellamy admit graeme tell players go fake injury train agree meet team-mates didnt take manager weekend support book cheat club manager team-mates pay bellamy latest appear chance first-team remote newcastle player sell bellamy insist dont want fan think minute play club play club goal situation ask club club mean know play newcastle,sport,0
dvd copy protection dvds copy anti-piracy measure devise copy protection firm macrovision pirate dvd market copy protection hack macrovision ripguard technology dvd rip copy program use pirate dvds ripguard design reduce dvd rip supply peer peer firm macrovision technology work dvd players apply discs do specify machine problem ripguard technology welcome hollywood film studios increasingly revenue dvd sales film industry dvd piracy months take legal websites offer pirate copy dvd movies download ripguard dvd anti-piracy legitimate online transactions interoperability digital home high-definition format steve executive vice president general manager macrovision entertainment technologies group macrovision ripguard design digital create so-called software content measure place dvds let people digital copy copyright dvds minutes copy dvd upload exchange peer-to-peer network macrovision ripguard rip return people dvd copy return original ripguard expect roll dvds company work rip program use program likely company macrovision rip update hackers way measure,tech,2
miss manic guitarist manic street preachers february disappearance remain rock music fan inspire inspire man keep manic street preachers rock disappearance do feature original line-up band bassist drummer moore guitarist call band debut suicide design record full-time member band write lyric play guitar concert intelligent writers larkin disorder band release album admit months plan hotel london ahead band tour police issue miss person alert parent son let know police discover car car park bridge suicide spot believe band stop tour record band play concert disappearance perform support stone roses uk stadium tour manic street preachers release music disappearance design life number uk single chart album win best band best album brit award fan india alert fly spanish weeks report man fit son see call report tv disappearance just like able love wed like band play concert capital contemporary rock band play seventh anniversary disappearance police offer parent death issue magazine support print know picture information pair contain human bank link police song write song call judge use judge film release test seventh studio album feature song dedicate call cardiff remain manic street preachers members continue pay quarter band account,entertainment,4
gizmondo gadget hit gizmondo media player phone game gadget go sale saturday price handheld device debut uk go sale europe weeks catalogue game gadget include great conflict gadget handheld game devices nintendo sony gizmondo device lot function inside black aim gamers want gadgets use play game music movies store digital photos use like mobile phone send text multimedia e-mail message phone service enable people send message provide vodafone account device work global use navigation support variety service gprs bluetooth wireless data systems onboard mean use game gadget available gizmondo store london street retail device roll impressive function name mobile game nintendo nokia sony main likely nintendo sony nintendo ds handheld go sale price cost gizmondo fan nintendo handhelds draw sale europe ds handhelds sell debut gamecube sony psp european debut likely months psp sale month include player copy expect cost psp play music movies support wireless multiplayer game nokia telecommunications phone gadget play game,tech,2
ferguson rue cut boss sir alex ferguson rue manchester unite chelsea everton arsenal draw fulham premiership chelsea gunners sunday give unite chance league ferguson think rival drop point weekend great deliver unite go ahead alan smith minute superb -yard visitors minute ferguson describe giveaway unite miss host finish encounter good performance football fantastic just didnt finish fantastic fulham player ferguson fourth league point point arsenal chelsea,sport,0
agassi andre agassi display fourth round australian open victory taylor -year-old american seed eighth start drop serve need chance serve have agassi fail control players break agassi win tie-break win fourth seed injury russian right ankle game fourth call show problem return victory minutes wimbledon look safin way take second safin raise game croatian safin try control year tournament russian hit victory try players like tough opponent im bite russian ankle injury lot ankle fourth round easy opponent retire match seed defend champion pull injury federer form winners world number play world junior champion beat tommy federer admit pressure win use win simple feel tough match start want play think french open champion tournament defeat hrbaty hrbaty defeat seed match last minutes pair trade service break hrbaty take eighth game final hrbaty play champion american kevin kim -,sport,0
chelsea arsenal game arsenal chelsea honour finish thierry henry arsenal ahead john level powerful header henry free-kick arsenal gudjohnsen equalise header gallas henry miss golden chance shoot high arsenal penalty reject henry opener give arsenal start french striker ball jose reyes chelsea spaniard goal henry finish take keeper cech henry arsenal chelsea appear equalise minutes gunners keeper almunia get ahead jens lehmann do lampard shoot power header corner arsenal weakness henry go chelsea gather ball go gudjohnsen gudjohnsen do minutes shoot almunia home robert pires win free-kick give -yard henry shoot cech arsenal do allow chelsea level soon go break ahead chelsea striker drogba gudjohnsen interval lampard cross gallas goal header gudjohnsen level matter chelsea main cross lampard miss great wide second half fail live pace open period robben way arsenal shoot almunia arsenal match work chance henry shoot high yards van persie win just wide flamini away final whistle chelsea premiership arsenal almunia lauren toure campbell cole pires flamini fabregas reyes van persie henry sub use lehmann cole henry cech paulo drogba gallas duff bridge lampard robben gudjohnsen sub use kezman cudicini robben drogba lampard gudjohnsen g poll hertfordshire,sport,0
thanou return greek sprinter katerina thanou compete clear miss drug test independent greek tribunal thanou miss test olympics iaaf decide compete abroad thanou tell athens olympics give green want thanou compatriot kostas kenteris iaaf december miss drug test open ceremony athens olympics independent tribunal greek athletics federation ban iaaf greek tribunal decide sport chairman world anti-doping authority iaaf do thanou kenteris year test fake thanou people think like deny lot mistake need person athlete substances know test give champion risk ive way,sport,0
boothroyd call lord speaker betty boothroyd house lord need speaker peer way reform baroness boothroyd woman commons speaker believe tony blair initiate reform clear care best tell bbc breakfast frost labour remove lord peer bill stage reform lord chancellor reform unveil labour manifesto think need look carefully lord commons lord falconer tell breakfast frost interact commons issue need address issue manifesto manifesto lord chancellor currently role house lord speaker member cabinet constitutional affairs secretary boothroyd believe lord chancellor role speaker really like speaker house lord dont idea lord chancellor senior cabinet minister speaker lord want go look house job,politics,1
intel unveil laser intel unveil research mean data soon move chip speed intel problem silicon use generate laser easier data network chip process information intel researchers products exploit appear weve limit dr paniccia director intel technology lab write dr paniccia colleagues richard jones dani alexander laser material use computer processors currently dr paniccia telecommunications equipment laser fibre optic cable expensive use telecommunications firm chip makers use silicon elements cheap use manufacture try silicon manufacture apply areas dr paniccia work components silicon use generate laser pulse use send data silicon pulse form material use fibre optic cable improve silicon use computer chip dr paniccia silicon mean laser rip electrons material create electrons sit silicon intel researchers way away electrons silicon material generate laser laser way help filter tune wide range lasers frequency range fibre optic cable data computer chip process dr paniccia work need silicon use components process form data pulse technical work,tech,2
bridge miss season chelsea left-back wayne bridge miss season suspect break ankle england international alan shearer fa cup defeat newcastle sunday think injury jose mourinho chelsea team meet barcelona champion league liverpool carling cup final gallas duff miss barcelona game france defender gallas ireland winger duff injuries stag chelsea defeat park bridge have go mourinho use substitute cudicini card mean chelsea finish game players cudicini play barcelona promise game carling cup final miss cardiff manager plan name squad ahead trip barcelona bridge left-back babayaro club january newcastle gallas left-back fit paulo left-back johnson newcastle game goal play right joe sam mourinho decide risk champion league tie bridge injury mean mourinho want cole arsenal senior left-back season bridge chance play barcelona play liverpool carling cup final maybe season department try recover gallas duff injuries players play shearer bridge injury dont know happen just dont think account go game best mourinho team lose winger arjen robben injury,sport,0
production million tonnes higher average report production total million tonnes report food agriculture world food programme good increase use improve seed rise production million need report food tonnes tonnes food oil target food programme children women need eastern well year total tonnes food need help million food agriculture fao food buy local purchase food program domestic market farmers chief fao global information warn agriculture main economic activity gross domestic product directly agriculture,business,3
super union merger plan britain trade unions merge form super union million members amicus transport general workers union tgwu see bid minister amicus million members tgwu merger approve unions executives wednesday unison tgwu amicus work year deal labour leadership equality work pension agreement unions remain merger point bbc news website deny merger agenda unions executives wednesday amicus executive meet case tgwu,politics,1
aviator win globes accolades aviator name best film golden globe award star leonardo dicaprio name best actor hollywood veteran clint eastwood take best director prize million dollar baby star hilary swank best actress quirky comedy sideways name best screenplay best comedy ray star jamie foxx best actor briton clive owen natalie portman win prize best support roles aviator dicaprio play howard ahead rival beverly hill ceremony win best original score prize total award million dollar baby sideways take golden globes best actor prize dicaprio describe director martin scorsese world cinema annette bening win best actress julia spanish movie inside name best foreign language film swank previously win golden globe oscar boys dont pay tribute million dollar baby director co-star clint eastwood opinion give performance career foxx nominate award beat best support actor title owen best actor tv movie prize life death bbc co-production life death name best tv movie win best original song award old habit die hard movie name best actor tv drama role uk kate winslet imelda staunton go home empty-handed actress nominations eternal sunshine spotless vera drake win golden globe improve film performer chance win academy award oscars golden globes award genre prize globes honour best television series housewives name best tv comedy actress beat fellow housewives star cross best comedy actress prize cast crew network give second chance career surgery series beat best television drama title arrest development star jason name best tv actor musical comedy series golden globes award hollywood foreign film base los angeles work overseas williams globe winner film fisher king good b award career achievement dedicate prize actor reeve die year,entertainment,4
charity anthem re-released world american charity anthem inspire success band raise research star sing group include diana ross ray charles bob michael jackson bruce springsteen top chart uk raise millions dollars re-release mark anniversary original record dvd feature footage record january single release sell copy go win grammys song year record year,entertainment,4
online game play politics online game break political election provide aim directly generation grow experts video game mainstream culture society political campaign game launch game commission democrat howard include elections president political machine allow players campaign include have media help raise stake candidate political game game enthusiasts keen start research political game university think go happen computer game information technology university admit person see fast researcher create game political campaign artists designers experiment form game agenda project aim comment international news game ability game powerful model tool interact actual original way video game generate strong culture need learn deal mr tell bbc news website case create political party online game offer view country work explore learn play video game dr see game small laboratory play children learn lot world play adults stop do grow experts estimate video game communication common tool political campaign compare form mass media like worldwide web politicians do webpage must-have dr political campaign continue experiment video game tool communication audience language speak form political media political campaign,tech,2
blunkett tell love david blunkett speak love marry publisher home secretary describe affect personal life great believer personal mr blunkett take legal gain access mrs son deny mr blunkett bbc radio sheffield visa mrs nanny deny sir alan mr blunkett fell love public reference gain access son great believer mr blunkett tell bbc radio sheffield fell love public start wrong summer news world story try work speak dont write ive ensure bbc political correspondent broadcast help get job home secretary shadow home secretary david davis mr blunkett quit visa process report claim mr blunkett chair meet visa learn nanny home office sir alan inquiry decide meet home office minister mr blunkett job work job work deal tell bbc breakfast frost programme just really job hope do,politics,1
strong dollar halt slide dollar slide euro yen halt treasury secretary john snow strong dollar america analysts gain likely short-lived economy significant point positive comment president w bush administration stop dollar slide weak dollar help boost export account deficit dollar trade euro record level november japanese yen trade yen hit low policy makers europe call dollar slide strength euro economic growth minister issue aim euro rise meet eurozone minister monday higher growth europe officials way huge account deficit dollar reduce mr snow currently dublin start eu ireland lower tax help boost growth eurozone grow global economy economies trade mr snow comment help dollar monday qualify statement basic policy let open market value market drive fundamentals fundamentals officials economies need grow main global growth engine economists fundamentals indicators economy look domestic consumer demand spend president bush budget deficit record account deficit hit record second quarter analysts weaker dollar matter euro analysts happy lower dollar help export cheaper europe boost economy,business,3
lib dems unveil election slogan liberal democrats general election campaign charles kennedy unveil slogan party spring conference tell delegate labour abuse public trust tories fail oppose response conservatives insist party majority speak mr kennedy people want political party offer different vision britain liberal democrats stand iraq war provide strong opposition government plan card anti-terror measure taxation vote conservative good do vote waste people need party concern party stand party prime minister claim tory party co-chairman liam fox like labour lib dems crime support higher tax oppose control immigration support give europe control live mr kennedy outline party plan impose income tax rate earnings year use help pay policies abolish university tuition scrap council tax local income tax provide free care elderly labour tories claim work families hit mr kennedy britain fourth-largest economy world world businesses world workforce million pensioners live poverty party campaign hard expect election prime minister tony blair mr kennedy tell radio today programme form coalition labour event parliament election independent party independent party mr kennedy recent miss monday commons vote government anti-terrorism laws lib dem mps saturday lib dem chief executive just mr kennedy colleagues miss vote government win majority idea go happen lord rennard tell party conference mps chance vote plan,politics,1
parmalat return parmalat italian dairy company go account scandal italian stock exchange firm gain protection creditors debts 14bn euros higher previously state statement issue wednesday night parmalat detail latest plan share group italian stock exchange creditors debts expect share share issue amount euros company creditors ask vote plan year plan likely creditors parmalat share debts owe lower creditors previously creditors parmalat main operate company likely percentage debt fall parmalat executives fraud scandal wednesday night bondi appoint italian government parmalat chief executive speak company industry commission bondi supply elements positive industrial debt point parmalat group market italian news agency quote statement,business,3
dome sale sell dome fail catalogue report government finance watchdog report party decision-making go sale office dome cost taxpayers sell deal sport entertainment return public sector deal site london nao report sale go previous sell dome deputy prime minister john prescott good deal benefit deal continue edward leigh chairman commons public account committee warn government work hard ensure taxpayers benefit dome deal report show sell dome prove government process government deal use white deal provide benefit local country question strong bid nao sir john circumstances english office deputy prime minister work hard deal,politics,1
oullivan sonia oullivan indicate like month world cross country championships athletics ireland -year-old runner include line-up event france team select saturday nationals announce oullivan london marathon oullivan train base australia boost ireland team win bronze saturday byrne likely form team oullivan great ireland dublin,sport,0
rem announce concert band rem announce plan perform scottish fan gig band play europe biggest green pull concert month bassist mike mill contract fan buy ticket original february attend concert gig act warm-up rem open air concert castle country park bank music book green available mark director music fantastic news really show rem scottish fan unique gig rem gigs promise summer scottish music lovers grammy award winners u2 play oasis perform stadium coldplay announce concert park t park box office write customers buy ticket february gig ask want attend buy ticket person urge return point purchase concert give swap ticket remain sale public,entertainment,4
british library get wireless net visitors british library able wireless internet access alongside information available read broadband wireless connectivity available read study visitors library laptops technology usage level library london active public hotspot previously internet access e-mail study british library explore ways technology help improve service users chief executive british library survey alongside users want able access internet library research communicate colleagues service price study consultancy visitors library sit use business station kings cross study people spend average wireless hotspot service register london active public hotspot majority visitors want able access e-mail british library catalogue service roll wireless provider hewlett packard operate library exist network british library visitors serve readers year people view include world largest collection patent uk collection science technology information library million remote users world year,tech,2
deutsche lse bid deutsche boerse investors london stock exchange bid chance exchange management reuters sunday report hedge fund tci atticus plan demand group chairman chief executive deutsche boerse tell news agency reuters annual general meet investors want deutsche return cash shareholders bid long-term investors remove management scar atticus david tell sunday deutsche boerse tell reuters tci board annual general meet sunday report tci draw executives deutsche chairman chief executive seifert group own deutsche demand general meet shareholders german exchange management german law deutsche do need investor back takeover bid tci atticus oppose lse bid shareholder value spend share deutsche pan-european euronext london exchange suggest bid war break office trade pair takeover proposals,business,3
celebrities england paul eastenders actress johnson bbc strictly dance one-off christmas special star television presenter jessica taylor celebrity pair impress judge win audience vote bbc final star king queen veteran presenter bruce forsyth host programme hot saturday night series strictly dance celebrities dance perform judge vote decide win audience vote form bbc duo similar celebrity dance itv title star contestants star pair learn series celebrity winner,entertainment,4
award sideways comedy sideways year independent award win award nominate name best film alexander win best director best screenplay write taylor win act award star paul giamatti thomas church sideways sunday oscars nominations award year give film studio oscars winners include moreno take best actress role drug drama grace moreno nominate best actress oscars best screenplay award go joshua grace scrub star zach braff win award best feature garden state write direct star oscar-nominated euthanasia film inside spain win best foreign film monster award best documentary actor la take best debut performance prize diaries award vote members independent feature angeles include actors directors writers industry year winner lose translation go win oscar best original screenplay,entertainment,4
japan bank share link share sumitomo financial daiwa securities jump amid speculation japan biggest financial company merge financial claim firm year japanese regulators firm deny link ways work share daiwa yen japan third-biggest lender daiwa country second-largest firm create company assets president company need businesses company need retail operations issue common daiwa group engage plan businesses analysts consolidation japan financial sector likely continue likely positive impact earnings bank broker increase expect analyst merger good,business,3
peer-to-peer pirate piracy peer-to-peer network trowbridge michael chicoine copyright share music movies software men suspect pirate fbi pair statement department justice men operate central hubs piracy community direct connect peer-to-peer network piracy group call network demand users share gigabytes file direct connect allow users central servers act spot users swap file film music exchange data network fbi download movies software program game sound recordings hubs larger piracy group digital aim copyright theft peer-to-peer network total home suspect copyright thieve net service firm department justice men copyright act men sentence,tech,2
open biggest gadget thousands technology lovers industry experts gather las vegas annual consumer electronics ces latest technologies gadgets hit shop year products unveil microsoft chief gate pre-show keynote speech wednesday expect announce detail generation xbox year technologies people multimedia content store watch want devices people expect attend trade million square include latest trend digital image storage technologies screen high-definition tvs wireless portable technologies game broadband technologies include technology company intel microsoft hewlett packard story year remain digital products way people interact consumer electronics cea tell bbc news website personalisation take mp3 player create playlist take digital video recorder watch want watch whim consumer electronics gadgets year accord figure release ces organisers cea gadget explosion growth consumer electronics rise trend predict continue accord cea analysts consumer technologies expect grow fastest-growing technologies include dvd media display tvs digital video recorders portable music players year really life place pvr video live content house content mr products year democratisation content devices technologies people music video image design technologies apple ipod use good look range people concern cea predict technology trend watch year game continue mobile devices gamers women game console sales decline launch generation console microsoft xbox playstation sales predict mr gate xbox media report cast keynote suggest announcement place game developers conference summer home expect home network cea suggest hard drive box media servers capable store thousands image video audio file access devices home portable devices mobile telephony digital music video players popular popularity drive multimedia content service let people watch film tv audio mean storage technologies demand hard drive memory like card ces january,tech,2
media gadgets move devices let people video image year accord industry experts year portable media players creative zen portable media player samsung archos series year connect allow people video watch archos launch latest range linux-based portable media devices consumer electronics las vegas pocket media assistant wi-fi built-in consumers show great devices store media place access chief archos consumers connect archos device second gadget people pocket mobile players archos series devices able record video source tvs playback content devices copy protect swap device record functionality see point portable video lot video watch wi-fi connectivity open content high-speed wireless link archos announce open software development linux developers applications create device microsoft portable media ces consumers agree content deal personal video recorder company tivo gate keynote speech ces tivo service mean consumers able program record free watch portable media players smartphones launch service mtv let people watch comedy central country music tv devices service launch msn provide people versions news entertainment video subscription download pc portable devices ability record directly tv vcr digital cable satellite box devices offer give people content watch increase devices content deal way people use recent research jupiter suggest people device dedicate music want watch video interest spend cash devices year explosion portable media microsoft mike tell bbc news website photos share consumer larger public transport users portable media year market watch news program way work microsoft content deal market on-going european content offer similar service right management issue do people find ways create content share online swap portable devices wi-fi enable open makers video audio grow portable media market distribute work ces january gadgets hit,tech,2
france v wales sit stade france paris saturday february radio website france beat scotland england match wales play rugby best start win title good record stade france have win game wales change team italy kevin take injure newport-gwent dragons luscombe right wing neath-swansea ospreys forward ryan jones wales place thomas wales coach mike ruddock team shell promise start championship henry wales coach go france prove right ruddock great way game players stutter display game defend champion france unbeaten coach bernard laporte change yannick laharrague rougerie yannick jauzion france criticise absence french way victory year captain fabien pelous see hope get wales different team beat hope proper game j laharrague rougerie y jauzion d traille c dominici y delaigue d yachvili s s n f pelous capt j s betsen y j bourgoin w o g harinordoquy p f michalak g thomas capt k t shanklin g henson s williams s jones d g jenkins m davies jones b r sidoli r jones m williams m owen r mcbryde j yapp j thomas r g c sweeney r williams,sport,0
profit lose heineken carlsberg world largest report fall profit beer sales europe fell firm heineken annual profit drop warn earnings slide brewer carlsberg fall profit demand increase market cost look russia china provide growth european market heineken net income fell euros euro year weak demand europe currency losses warn weaken dollar cut value foreign sales euros operate profit dip profit heineken sales improve total revenue year euros euros heineken plan invest euros market europe heineken own murphy brand cut cost breweries heineken increase dividend euro cents warn continue impact weaker dollar increase market spend drop net profit carlsberg world brewer annual pre-tax profit fall euros beer sales affect sluggish european economy ban pubs european countries total sales increase strong sales carlsberg russia carlsberg heineken project rise net profit year plan cut job sales hit demand cheap import brand remain outlook revenue growth europe host economic social investment bank merrill lynch carlsberg,business,3
